Tên;Địa Chỉ;Phân loại;Lat;Lng
Hủ tiếu nam vang phước thành;https://maps.app.goo.gl/jWYMJZv2J4Aoepk49;Ẩm Thực;11.29707;106.1206
Chè bà 4 cô đơn;https://maps.app.goo.gl/VdKgtnCHmT6evC9a7;Ẩm Thực;11.29775;106.1268
La Come Café;https://maps.app.goo.gl/GuxnzEMrpHDVmKjs8;Café;11.31758;106.0988
Oye café;https://maps.app.goo.gl/YL7tzq7efoKBvsQb7;Café;11.31287;106.1039
Ngot Café;https://maps.app.goo.gl/KJxxqWVZ7R8NWGMm7;Café;11.31218;106.1049
Café trà bánh lê la;https://maps.app.goo.gl/4KSpvwEqMBAYEGj88;Café;11.31289;106.1043
Phước lạc duyên;https://maps.app.goo.gl/7i8bVSzJxdKkXswv6;Ẩm Thực;11.31888;106.1309
Nép Cafein;https://maps.app.goo.gl/15qSdPgQjzXLVmjN7;Café;11.32801;106.1074
Xoài Café;https://maps.app.goo.gl/MUnMeCzTvmpfYihJA;Ẩm Thực;11.31034;106.1053
Bò tơ thanh thúy 2;https://maps.app.goo.gl/aLMaMGZoAyHy3PFd8;Ẩm Thực;11.31007;106.1572
Thinh Nướng;https://maps.app.goo.gl/KtQqnA2GGfTKKRuB9;Ẩm Thực;11.41494;106.1554
Quán Bò Tư Tèo;https://maps.app.goo.gl/u4W2gDYJ9oCWxAbk7;Ẩm Thực;11.01345;106.4078
Quán Bò Cô Hai;https://maps.app.goo.gl/c5Y1k852yx4KQq2MA;Ẩm Thực;11.01232;106.4084
Anita House;https://maps.app.goo.gl/e8R5VPgExYa9h5zf6;Ẩm Thực;11.39496;106.1554
